id1,id2
4013_1_2,4911_4_5
4036_5_3,6853_4_2
4038_4_2,5395_3_6
4038_4_3,4845_2_2
4050_4_2,5819_0_2
4053_3_4,5646_0_1
4084_4_2,4641_4_2
4085_1_0,5258_3_0
4089_0_5,4313_2_1
4090_2_5,6231_0_0
4095_3_3,6841_0_5
4095_5_1,4241_3_1
4125_0_1,5459_4_0
4130_2_5,5311_2_0
4194_5_2,4233_2_3
4227_5_1,4606_2_0
4249_1_3,6010_3_1
4337_2_4,4924_1_1
4346_1_1,6634_4_5
4349_4_3,4660_0_6
4358_1_0,5911_0_4
4386_0_1,4788_2_4
4407_3_2,5362_2_6
4494_3_1,5191_3_6
4502_2_2,5691_1_2
4624_5_4,5608_2_1
4693_1_3,6255_5_1
4718_1_1,6343_2_1
4753_3_5,5244_4_2
4775_0_1,6195_4_0
4775_5_0,6259_4_0
4780_4_1,5112_1_0
4816_1_2,6435_3_4
4857_3_4,5040_2_0
4873_3_5,5024_1_1
4892_0_1,5643_5_3
4923_1_3,5026_2_2
4930_2_4,6746_2_5
4961_3_3,6432_2_5
4972_2_5,5601_1_4
4980_4_3,6014_2_1
5019_3_2,5156_5_4
5030_2_1,5922_2_5
5053_3_3,6139_2_2
5109_1_1,5631_2_4
5135_1_2,6516_3_5
5199_2_3,5408_1_2
5213_1_5,6998_5_1
5214_0_3,5773_0_5
5226_3_1,6512_0_2
5236_0_5,5254_3_3
5241_4_4,6212_4_2
5249_0_0,5896_2_1
5262_4_5,6536_3_1
5353_2_1,5526_2_1
5442_2_3,6534_2_5
5452_1_2,6466_4_2
5464_3_5,5951_5_3
5551_0_1,5919_4_2
5569_1_0,6651_3_1
5577_2_5,6351_5_5
5637_2_1,6192_2_6
5874_5_6,6388_4_4
5888_1_5,6329_4_3
5894_4_0,6653_1_2
5994_1_3,6712_0_4
6042_1_6,6553_3_2
6075_0_4,6902_4_2
6148_2_2,6953_1_6
6204_5_3,6630_5_2
6431_3_3,6947_1_2
6451_3_4,6656_0_1
6543_1_0,6776_4_1
6584_3_3,6681_0_1
6596_5_3,6914_2_3
6671_4_4,6686_5_4
6676_5_1,6903_1_5
6700_1_3,6734_0_2
4001_1_6,4165_5_5
4003_1_4,5325_1_6
4007_4_3,6743_0_6
4018_4_6,6617_0_0
4019_2_5,5797_3_2
4026_2_2,6928_4_4
4028_2_3,4200_4_4
4051_2_4,5825_0_0
4061_4_5,4390_2_3
4099_4_4,6124_4_1
4149_1_4,4541_3_3
4165_5_5,4275_0_4
4169_1_4,6743_3_5
4169_3_3,5358_4_4
4181_0_0,5071_2_6
4182_2_1,6388_4_3
4183_4_1,6794_4_1
4204_4_1,6108_2_2
4215_0_2,5157_0_2
4222_4_1,4908_4_0
4271_2_3,6603_2_1
4275_0_4,4359_2_2
4277_0_2,5775_4_5
4280_2_4,4446_3_6
4287_4_4,5516_5_5
4353_4_3,5860_5_1
4359_2_2,4384_0_6
4380_2_4,4624_3_0
4384_0_6,4445_0_1
4433_5_3,4463_1_6
4445_0_1,4631_0_3
4453_1_2,5888_5_2
4463_1_6,4866_0_0
4466_0_0,4861_1_1
4479_3_1,6176_1_5
4541_2_3,5066_2_3
4550_1_2,6287_0_4
4550_3_4,6736_3_4
4551_4_4,6386_1_5
4564_3_5,4846_4_1
4571_0_2,6954_2_2
4577_4_4,5479_3_5
4581_2_5,5279_3_1
4582_2_0,6752_0_2
4599_2_0,6416_3_5
4616_1_4,4819_2_3
4631_0_3,5144_2_4
4632_0_3,6660_1_4
4634_2_3,5338_3_1
4658_2_1,6193_3_0
4734_1_3,5724_2_2
4745_3_2,6070_4_3
4748_4_4,6396_3_3
4753_2_1,6250_4_2
4774_4_4,6258_0_3
4794_1_4,6091_4_0
4805_1_4,6840_3_4
4807_4_5,5911_1_3
4827_5_0,5997_3_4
4838_0_2,6663_3_1
4845_3_0,5917_5_0
4846_4_1,5270_1_1
4861_1_1,6127_4_3
4880_5_5,6110_0_4
4891_4_1,6845_2_3
4915_2_2,5634_4_2
4937_5_2,5450_0_1
4945_0_1,5256_0_2
4952_3_2,6216_0_4
5000_0_1,6200_3_0
5010_5_4,6728_1_4
5016_4_2,5703_1_5
5051_2_1,6680_3_2
5055_2_3,5076_0_4
5059_2_3,5919_2_1
5065_0_5,6564_1_0
5084_5_2,5106_0_4
5087_0_1,6082_2_6
5100_2_4,6978_1_0
5144_2_4,5856_0_3
5151_2_1,6524_4_3
5180_4_0,5766_5_2
5200_1_4,5512_1_4
5260_0_0,5370_3_1
5270_1_1,6803_4_3
5283_3_4,5864_5_3
5329_5_1,5676_4_6
5342_3_2,5383_3_3
5354_2_2,5823_1_1
5373_4_4,5764_2_1
5387_2_3,6843_2_1
5492_3_6,6281_4_1
5503_2_4,5974_3_3
5508_5_1,5856_0_3
5513_3_2,6102_0_2
5566_0_2,6351_2_4
5607_1_5,6135_3_4
5612_2_6,5779_2_4
5626_0_1,6958_4_4
5661_4_5,5798_3_0
5713_1_2,5813_2_0
5724_5_6,6768_3_0
5856_0_3,6270_2_2
5871_4_3,6026_5_1
5896_4_0,6597_4_1
5918_5_2,5990_3_2
5986_4_0,6299_2_6
6012_3_5,6270_1_3
6045_4_3,6745_1_0
6063_2_1,6582_4_2
6159_0_2,6513_2_1
6235_2_4,6647_0_2
6236_4_2,6697_1_2
6343_4_1,6357_4_6
6362_3_0,6518_1_3
6362_5_1,6462_2_4
6546_0_5,6632_3_1
6690_0_5,6902_4_6
6713_5_4,6780_1_2
6718_4_1,6935_3_1
6834_1_1,6903_4_4
4018_4_3,5051_5_4
4019_0_4,4474_0_0
4036_4_1,5042_0_4
4039_0_4,5360_1_1
4043_3_4,6784_4_0
4103_1_3,4279_1_3
4112_3_2,4873_0_2
4114_5_3,4964_3_3
4161_0_5,5096_4_4
4167_4_0,6281_1_5
4174_2_4,4381_2_5
4191_2_4,5389_5_1
4198_2_4,6095_3_5
4200_2_3,5460_4_5
4205_4_6,6649_0_4
4216_1_2,4269_4_3
4231_2_2,4966_1_3
4249_0_1,4759_2_1
4252_4_3,4518_1_4
4297_1_2,4397_0_3
4308_2_1,6749_1_0
4350_0_3,6106_4_2
4355_5_1,5167_4_3
4369_4_0,5744_2_0
4371_3_3,5532_2_0
4380_3_3,6104_0_2
4402_0_2,4500_3_2
4470_4_2,6285_0_1
4510_1_2,6254_4_5
4514_5_3,6349_4_5
4532_2_5,5508_2_1
4537_3_2,5068_2_3
4550_4_1,6286_3_1
4609_1_4,6735_1_3
4624_4_1,5886_5_2
4629_4_1,5413_5_3
4655_2_1,6371_1_2
4665_2_5,6703_0_1
4682_3_5,6495_2_4
4742_4_1,5463_3_5
4772_0_4,5239_1_0
4778_3_5,6069_2_1
4780_4_4,6029_3_4
4795_1_0,6644_0_3
4807_1_0,6104_0_2
4831_4_1,6578_3_0
4834_5_5,5750_2_0
4893_3_2,6141_3_1
4910_1_4,6168_1_4
4928_4_0,6728_0_0
4951_4_4,6343_2_0
4978_4_5,5472_0_1
4998_2_5,5984_2_4
5083_4_6,6194_4_3
5095_5_2,5511_3_2
5116_2_4,5623_2_5
5120_2_1,5124_5_5
5134_2_3,5697_3_1
5146_2_4,5295_1_2
5153_0_4,6478_5_0
5190_4_1,6924_4_0
5227_0_3,6370_5_1
5273_3_2,6273_0_0
5293_3_6,5740_2_1
5315_0_4,6789_3_1
5354_4_4,6195_4_0
5399_5_4,5784_2_5
5401_0_4,6803_4_3
5467_1_2,5573_3_1
5501_1_2,6733_3_2
5540_0_0,6728_2_6
5580_4_4,6099_4_1
5623_0_0,6143_3_4
5632_0_1,6490_2_0
5696_0_0,6009_2_0
5709_2_0,5825_3_5
5840_2_2,6056_2_4
5844_0_3,6552_0_4
5854_2_4,6422_5_3
5903_3_1,6322_2_0
6092_0_0,6893_3_4
6109_0_4,6114_1_3
6110_0_4,6561_0_1
6127_4_3,6438_5_4
6170_2_2,6484_3_1
6256_3_1,6727_1_5
6265_2_0,6681_0_3
6438_5_4,6512_3_1
6483_3_3,6922_1_6
6495_5_4,6533_4_2
6605_4_1,6803_4_3
6650_0_4,6967_4_4
6863_5_5,6960_5_0
4003_2_3,5924_2_4
4026_4_3,6757_5_2
4045_2_2,4239_0_4
4078_4_4,5552_0_2
4079_4_1,6246_0_0
4091_3_1,5861_1_2
4095_4_2,6038_2_4
4097_1_0,5604_0_0
4145_3_1,5488_3_4
4156_5_0,4201_3_2
4174_2_1,6589_1_2
4208_4_3,6364_5_1
4217_3_3,5323_2_5
4261_2_2,4817_0_1
4331_4_4,5770_2_5
4371_1_3,5792_2_5
4374_1_1,5723_0_3
4374_1_3,5044_1_4
4407_0_1,6598_4_1
4440_0_4,4580_1_2
4465_4_0,4974_4_3
4472_2_0,6756_1_0
4538_4_1,5706_0_0
4554_5_1,6249_0_3
4575_0_5,6494_1_6
4588_1_4,6356_5_6
4594_4_1,5505_3_3
4598_2_2,6180_5_3
4601_4_0,6890_1_1
4638_0_3,6772_3_0
4643_3_6,5285_0_0
4646_5_1,6548_4_2
4669_0_4,4673_2_4
4679_4_5,4981_1_4
4729_5_5,5330_2_2
4730_3_4,5580_2_4
4750_1_1,5324_4_4
4762_0_0,5452_0_6
4770_2_3,5851_0_2
4776_4_1,6183_5_3
4872_2_6,6220_4_4
4887_2_1,6245_0_4
4925_4_2,5956_5_3
4955_4_0,6838_4_5
4979_2_6,6114_2_3
4990_4_1,5601_2_2
4994_0_0,5096_1_2
5010_2_2,6606_4_1
5017_4_3,6155_3_2
5024_0_3,5427_3_3
5066_2_1,6950_4_0
5078_2_4,6288_4_0
5173_2_1,5829_3_0
5284_5_0,6793_1_0
5301_0_4,5747_0_5
5317_2_3,5660_4_2
5332_3_1,5959_0_3
5345_0_4,5736_2_3
5405_0_0,6965_0_4
5411_3_4,5419_4_0
5483_4_1,5690_4_5
5484_2_2,6052_1_4
5547_4_4,6571_1_4
5599_1_4,6537_5_0
5705_1_1,5785_3_4
5837_5_3,6081_1_5
5857_0_6,6458_5_2
5874_3_6,6017_1_4
5920_2_1,6134_0_5
5922_4_3,6935_4_4
5949_2_2,6898_1_3
5958_4_4,6503_0_3
5997_2_1,6070_2_4
6009_2_1,6196_5_6
6114_1_4,6481_4_2
6170_3_0,6669_4_2
6194_4_3,6337_2_0
6263_0_3,6366_2_1
6265_2_3,6527_0_0
6384_3_1,6789_2_2
6402_2_1,6895_1_0
4022_5_0,5768_5_0
4024_2_5,5433_2_2
4031_5_0,5033_3_3
4032_5_4,4430_5_0
4033_5_2,5226_0_1
4137_2_6,5307_3_4
4169_5_0,6955_0_3
4196_0_4,4372_1_3
4247_3_0,4779_1_1
4268_2_6,6844_0_1
4332_4_5,5522_1_3
4383_3_0,5460_4_3
4397_2_3,5248_1_2
4412_2_6,4912_1_3
4452_1_4,5382_2_4
4453_4_1,5644_3_1
4470_4_1,6903_3_1
4489_1_4,6256_4_5
4489_4_3,6588_4_5
4525_1_2,6184_2_1
4529_4_0,5960_1_4
4561_1_5,5421_2_0
4606_2_2,5295_4_1
4621_4_4,5942_1_5
4623_5_0,5670_5_4
4654_5_2,5379_4_2
4671_2_3,6346_2_2
4750_0_4,5192_4_4
4787_5_3,6079_0_1
4788_2_5,5728_1_1
4897_3_2,6036_3_2
4913_1_2,6575_3_6
4915_5_2,6021_4_0
4927_3_4,4998_0_5
4940_0_5,6496_2_4
4949_1_0,5090_5_2
5036_0_1,5087_5_3
5055_4_3,5309_0_0
5089_1_2,5645_4_3
5093_4_2,6687_2_5
5109_2_2,5193_2_5
5132_2_3,6365_1_6
5167_1_3,5745_0_1
5173_1_0,5526_3_2
5196_2_5,6085_5_6
5198_3_2,6636_2_4
5217_3_5,5922_3_4
5273_4_2,6225_3_6
5289_1_3,6496_0_4
5336_5_5,6904_5_1
5364_0_1,5914_2_0
5370_1_2,6605_3_6
5380_0_4,6691_2_5
5531_4_1,5827_3_2
5543_2_5,6541_3_1
5559_3_5,5791_3_1
5656_0_4,6902_2_6
5657_5_2,5801_5_3
5670_5_3,6396_1_0
5732_5_0,6917_2_4
5815_2_1,6216_2_1
5843_2_0,6116_3_6
5896_0_1,6263_2_2
6015_0_1,6815_2_0
6134_3_0,6748_0_6
6164_3_0,6561_3_4
6391_3_2,6999_3_4
6394_1_2,6748_5_2
6532_2_3,6566_1_1
6680_2_4,6783_0_3
6733_1_5,6743_2_3
6863_4_2,6936_1_0
4014_0_1,4499_3_2
4057_4_4,4815_0_1
4099_2_2,5110_1_1
4155_0_1,4601_1_2
4194_4_3,4432_1_3
4233_4_4,5635_4_3
4287_2_1,6424_3_1
4307_2_5,5635_4_3
4319_2_6,4801_3_1
4338_3_4,5365_3_1
4389_0_0,4776_0_0
4406_2_0,6960_3_1
4420_3_4,6399_0_5
4439_5_2,4657_3_3
4442_1_4,5207_4_4
4509_4_0,5650_0_2
4512_4_1,5775_3_2
4525_2_0,6882_0_5
4602_3_1,6243_3_2
4640_4_6,4939_0_6
4724_2_4,5953_4_0
4808_0_3,5058_5_4
4828_0_0,6172_4_3
4900_1_2,5666_1_1
4907_4_5,6854_3_1
4966_4_4,6695_2_2
4971_3_0,6490_1_2
4977_3_0,5950_3_3
4982_2_0,5761_0_5
5044_1_4,5929_4_2
5045_0_0,5830_2_5
5054_1_5,5839_2_2
5095_5_5,6914_5_6
5107_1_4,6315_5_3
5118_1_3,5336_1_1
5122_3_4,5495_3_0
5123_4_4,6675_0_3
5146_2_2,6160_1_3
5195_1_3,5529_0_1
5220_4_0,5835_3_4
5236_1_1,6129_0_5
5298_5_1,6879_4_3
5388_0_1,5451_4_0
5396_4_1,6017_2_3
5421_3_3,5566_0_5
5423_3_0,6619_3_4
5483_2_3,6390_2_2
5518_0_1,5771_3_0
5559_4_0,5917_5_3
5622_5_3,6628_1_2
5628_5_5,6060_3_4
5674_3_3,6166_3_4
5691_0_2,6837_3_5
5704_2_2,6796_3_2
5713_4_2,6826_3_0
5730_5_4,5840_4_3
5785_4_1,5991_1_3
5837_5_2,6615_3_3
5892_1_0,6910_0_5
5898_5_0,5991_4_4
5943_1_2,6178_0_1
6174_4_4,6180_3_3
6196_1_1,6596_5_0
6252_4_1,6744_4_3
6361_0_6,6478_4_2
6394_1_5,6418_1_2
4015_2_0,6822_0_5
4058_4_2,5914_3_3
4070_4_3,5935_3_5
4082_0_1,5851_0_0
4099_4_3,4667_0_1
4102_0_1,4386_3_4
4108_0_2,6627_5_0
4112_1_3,5814_3_3
4116_2_3,6152_4_0
4224_4_1,6895_1_5
4225_1_5,6468_0_4
4241_1_0,6220_0_5
4258_3_2,6330_1_1
4272_4_3,6824_4_4
4313_0_1,6466_4_4
4318_5_1,6405_2_4
4351_4_5,6186_4_3
4365_3_0,6203_2_6
4483_4_5,6773_3_6
4498_1_1,4508_0_4
4517_5_3,5359_5_1
4522_2_5,6653_0_0
4569_4_0,5416_4_1
4571_2_1,6427_1_2
4630_2_1,5431_0_4
4664_2_5,6444_3_2
4665_2_3,6936_2_0
4710_0_4,5994_0_0
4775_3_2,6298_0_0
4792_2_6,5500_3_2
4997_2_0,6100_0_0
4998_0_5,5383_4_3
5036_5_5,6093_2_3
5055_0_2,5516_3_0
5120_0_2,6808_3_6
5177_5_0,5890_1_0
5355_0_3,6418_3_6
5383_4_3,5470_0_1
5444_5_5,6257_0_5
5492_2_3,6392_0_5
5507_3_6,5724_3_0
5526_0_3,6775_4_5
5530_4_4,6511_2_5
5564_4_6,6019_5_5
5572_2_2,6416_0_4
5793_2_1,6896_3_0
5834_4_2,6913_0_4
5989_4_1,6229_1_2
6004_4_4,6776_2_2
6129_0_5,6192_1_2
6244_1_0,6481_3_5
6395_2_5,6569_5_3
6404_1_3,6708_0_4
6483_5_1,6747_4_0
4057_2_3,6830_3_0
4066_1_5,4758_5_2
4131_1_2,6995_1_3
4174_4_3,6760_4_1
4210_1_3,6262_0_4
4278_0_1,6882_0_0
4327_5_4,6255_0_3
4409_1_5,6264_0_1
4428_1_5,6264_3_2
4526_0_2,5096_4_2
4592_0_6,4961_0_0
4596_0_5,5756_0_3
4647_3_1,5258_1_4
4686_2_5,5981_0_4
4695_0_4,5693_5_2
4709_0_2,6767_3_3
4727_4_0,5136_2_3
4757_0_2,6273_3_4
4792_2_3,6540_5_3
4897_4_0,6113_5_6
4952_0_0,6427_1_5
5000_4_2,5743_2_5
5002_3_1,5474_5_5
5156_3_3,6387_1_3
5207_4_3,6645_2_0
5306_3_3,6162_5_0
5318_2_2,6020_3_5
5372_4_1,5710_0_0
5393_4_3,6175_2_0
5471_0_3,5855_3_6
5690_1_2,6781_3_3
5711_3_4,6406_1_5
5838_0_2,6320_3_0
6109_5_6,6233_1_3
6297_0_4,6387_1_4
6341_2_4,6577_0_3
6423_2_5,6923_0_2
6482_1_3,6649_4_2
4016_5_3,6974_1_3
4034_4_5,5804_1_3
4110_2_2,5688_3_1
4197_1_2,4950_0_3
4215_0_0,4918_0_6
4248_3_1,4269_2_5
4254_2_0,6108_1_3
4639_0_2,5754_1_2
4773_0_0,6766_2_3
4962_1_6,6417_4_2
5018_4_4,5877_4_4
5039_1_0,6437_0_6
5053_1_4,5172_0_1
5119_3_5,6938_1_2
5283_1_3,6430_3_1
5412_4_1,6268_1_1
5460_4_1,6415_1_3
5500_3_0,6456_5_6
5743_2_5,6194_1_0
5814_0_5,6683_1_4
6101_0_5,6296_3_5
6284_3_3,6795_2_0
4030_0_6,6687_0_1
4124_0_6,4570_4_6
4127_2_0,6748_0_5
4143_3_5,6773_1_5
4220_0_5,5182_1_2
4232_3_2,5410_1_0
4417_4_4,6077_3_3
4582_5_4,5878_5_4
4741_4_1,5129_4_0
4973_3_1,5800_3_3
5004_1_4,5456_2_5
5158_1_1,5383_3_4
5211_2_1,6735_5_6
5240_3_0,5354_3_3
5465_2_2,5666_5_3
5481_4_2,6295_2_3
5775_0_5,6907_0_4
5973_2_5,6083_3_2
6031_1_3,6822_1_4
6327_3_0,6711_2_3
6623_4_2,6977_1_0
4093_5_5,6343_3_0
4238_0_5,5590_4_1
4241_3_2,6693_0_0
4337_1_1,5816_0_0
4354_3_3,6024_3_2
4380_3_6,6347_1_2
4672_2_1,4740_3_1
4933_0_5,6222_2_4
5228_4_0,6494_2_3
5313_1_2,5343_2_5
5384_1_1,6890_0_4
5484_2_0,6116_4_0
5492_2_0,5556_4_4
5837_5_1,6210_3_1
5838_1_1,6798_0_2
6158_5_0,6308_1_4
6337_3_2,6786_3_5
6578_1_4,6967_4_1
6751_3_0,6801_2_1
4097_2_0,6581_0_0
4107_4_0,6897_4_1
4140_0_1,6449_1_3
4148_0_1,5689_0_0
4313_4_3,4361_5_3
4751_1_1,6155_2_4
4773_4_1,5857_5_2
5052_1_0,6403_4_0
5638_3_6,6215_2_5
5675_3_0,6600_0_1
5691_3_1,6815_3_1
5772_2_5,6185_0_1
5814_4_2,6721_2_2
5839_5_6,6309_3_1
6165_3_0,6176_3_1
4036_1_4,5199_2_2
4062_3_1,6001_4_4
4961_4_5,6404_2_3
5088_1_4,6277_4_2
5199_2_2,5740_1_4
5241_5_2,6437_1_1
6305_0_4,6730_4_3
5066_2_0,6672_1_2
5090_1_3,6206_0_1
5374_2_6,6683_1_3
5385_0_4,6890_5_0
5396_2_3,6209_2_1
4834_0_0,5311_3_1
4296_2_2,4668_4_0
4318_1_3,5429_5_4
4733_3_0,5607_3_1
5180_2_0,6861_3_1
5491_5_0,6490_2_1
6164_1_5,6419_4_4
4354_3_0,4421_1_1
5178_0_5,5971_0_1
4923_4_2,5592_2_4
5190_3_2,6491_5_2
6162_1_3,6990_4_4
5887_3_0,6794_2_0
4315_1_0,4480_4_5
6772_4_3,6883_0_4
5079_3_1,6569_1_4
5989_2_0,6469_2_2
4583_0_3,5617_1_2
5603_4_2,6412_2_6
6776_4_5,6791_0_4
5759_4_4,6237_4_2
5137_4_0,5621_1_3
4672_2_5,5771_2_2
5935_3_1,6148_5_4
4074_1_5,4966_4_2
6124_1_0,6282_3_4
6291_2_4,6826_0_0
4255_1_5,5191_3_5
6231_0_2,6505_4_3
4784_4_3,6815_0_2
4065_1_1,4747_2_0
4358_5_5,5545_0_1
4038_4_0,4798_4_1
4264_3_5,5982_5_1
5427_2_4,5486_1_0
6061_2_3,6659_3_2
4201_5_0,6000_2_0
5294_3_2,5897_3_1
5897_3_1,6097_3_4
5698_2_3,5766_2_0
4072_1_2,5932_4_6
4770_4_6,5561_3_3
5345_0_3,6315_2_2
5731_4_0,6637_1_2
6100_4_6,6613_4_0
5055_4_1,5551_2_0
4385_0_4,4669_3_0
6203_3_5,6633_0_6
4067_2_6,6736_5_3
4404_1_6,6099_4_0
4212_2_1,4714_2_4
5547_2_1,6477_5_0
4579_0_0,5062_4_6
4084_4_0,4961_0_3
6652_4_2,6743_1_2
4699_0_5,4918_0_6
6265_1_1,6523_2_6
4196_0_2,5027_3_4
5837_3_5,6614_2_2
4048_1_2,4079_2_0
4060_4_4,5181_2_4
4174_4_1,6997_5_1
5853_4_0,6979_0_2
5505_3_1,5699_3_5
5794_4_6,5939_3_1
4864_1_5,5274_1_2
6054_3_4,6782_3_1
4090_0_0,4671_4_0
4710_3_4,6343_0_4
5747_0_4,6296_5_2
6159_2_2,6728_3_4
4470_3_3,5596_3_4
4962_3_3,5137_0_4
6082_3_3,6232_2_4
4572_4_1,5501_3_0
4474_5_5,6470_5_3
5897_2_3,6941_3_0
4597_0_0,5208_1_5
4227_5_3,4684_1_2
5310_2_6,5781_3_6
5177_5_1,5532_3_6
5609_4_4,6763_3_2
6293_2_1,6514_4_3
4700_4_1,6240_2_0
4057_1_0,5660_4_0
5770_2_0,6687_0_0
4858_4_5,5345_4_3
5221_4_4,6342_2_4
4353_0_4,6234_5_2
5180_4_2,6891_1_0
5200_0_5,5306_2_0
5429_2_5,5591_1_2
5675_5_0,5796_0_3
5184_4_2,6298_0_0
4576_0_6,4683_0_1
5276_0_5,5766_0_3
5187_4_5,6288_3_3
6296_2_1,6720_2_4
5247_4_3,6657_3_1
4510_2_3,5776_1_1
4678_1_2,6995_4_1
6292_1_4,6998_3_3
6132_0_4,6285_4_3
4808_1_1,5886_0_3
5553_0_0,5584_0_1
5590_2_2,5782_5_2
6308_3_1,6354_2_5
4018_0_1,4334_2_3
4358_5_4,5172_0_6
4345_2_2,4506_0_2
4152_2_1,5532_3_4
4686_0_3,4883_4_5
5514_4_0,6342_0_0
4582_5_5,6757_5_3
4209_0_3,4310_4_5
4849_0_6,5105_3_2
5590_3_0,6345_2_1
4426_4_1,6598_0_1
5333_1_1,6153_4_0
4736_2_0,5014_5_6
4506_0_2,6153_4_0
4384_1_1,5976_1_1
4406_0_1,5385_0_0
4396_1_0,4759_3_4
5936_3_3,6112_0_3
5620_2_3,5823_1_1
4477_0_6,5609_1_2
4936_1_3,6465_2_6
4908_0_2,5273_1_0
4362_4_1,6849_1_3
5575_5_6,6845_4_0
4443_1_6,5827_5_1
5668_1_6,6824_1_2
4314_5_4,6401_0_2
4071_5_6,4637_1_2
5019_4_1,6651_4_2
4305_3_2,5715_3_5
5409_3_5,6738_1_2
5012_1_6,6770_0_2
4192_0_5,4240_3_2
4567_0_1,4723_2_0
4547_4_6,6935_2_3
5845_2_2,6040_5_2
4445_3_0,4497_0_4
4582_1_1,4664_2_3
4377_2_0,4639_0_3
4843_1_2,5200_2_2
6362_4_3,6412_1_1
4241_3_1,5444_4_3
5407_1_0,6204_4_6
5058_0_6,5626_4_4
5002_2_5,6650_1_5
4859_2_2,6824_2_3
4220_3_0,6528_0_2
4361_3_4,5975_2_3
4150_0_3,4773_1_3
4753_1_0,6618_2_5
6640_3_4,6970_5_2
4208_3_6,4472_5_3
5601_4_5,6719_0_1
4156_2_4,5962_2_0
5151_1_1,6876_0_1
4312_0_3,5039_1_1
4182_2_0,4328_1_3
4064_3_0,5675_3_1
6048_2_1,6460_4_0
4932_3_3,5717_0_1
4547_4_0,6351_2_0
4162_3_0,5322_4_0
4366_3_0,6979_3_3
4237_5_6,5496_4_0
5469_4_5,6971_1_5
5881_5_4,5952_0_2
5237_3_0,6717_3_5
6960_1_3,6995_3_5
5157_1_4,6686_2_6
5193_1_1,6057_1_4
5047_5_3,5658_5_1
5731_0_4,6115_4_2
